#,result,kills,deaths,assists,duration,summoner,region,puuid
29,Victory,8,9,15,29m 58s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
30,Victory,4,3,7,19m 06s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
31,Defeat,3,14,17,43m 25s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
32,Defeat,8,7,7,28m 38s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
33,Victory,8,4,9,28m 54s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
34,Defeat,4,8,3,22m 49s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
35,Defeat,11,6,8,28m 59s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
36,Defeat,5,5,3,26m 09s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
37,Defeat,13,5,3,33m 33s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
38,Victory,5,3,12,27m 33s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
